boundary_time,epoch_end,tie_count_at_boundary,tied_combos,selected_combo,workload_file
2575,2650,81,SJF|SJF|SJF|SJF ; SJF|SJF|SJF|FCFS ; SJF|SJF|SJF|HRRN ; SJF|SJF|FCFS|SJF ; SJF|SJF|FCFS|FCFS ; SJF|SJF|FCFS|HRRN ; SJF|SJF|HRRN|SJF ; SJF|SJF|HRRN|FCFS ; SJF|SJF|HRRN|HRRN ; SJF|FCFS|SJF|SJF ; SJF|FCFS|SJF|FCFS ; SJF|FCFS|SJF|HRRN ; SJF|FCFS|FCFS|SJF ; SJF|FCFS|FCFS|FCFS ; SJF|FCFS|FCFS|HRRN ; SJF|FCFS|HRRN|SJF ; SJF|FCFS|HRRN|FCFS ; SJF|FCFS|HRRN|HRRN ; SJF|HRRN|SJF|SJF ; SJF|HRRN|SJF|FCFS ; SJF|HRRN|SJF|HRRN ; SJF|HRRN|FCFS|SJF ; SJF|HRRN|FCFS|FCFS ; SJF|HRRN|FCFS|HRRN ; SJF|HRRN|HRRN|SJF ; SJF|HRRN|HRRN|FCFS ; SJF|HRRN|HRRN|HRRN ; FCFS|SJF|SJF|SJF ; FCFS|SJF|SJF|FCFS ; FCFS|SJF|SJF|HRRN ; FCFS|SJF|FCFS|SJF ; FCFS|SJF|FCFS|FCFS ; FCFS|SJF|FCFS|HRRN ; FCFS|SJF|HRRN|SJF ; FCFS|SJF|HRRN|FCFS ; FCFS|SJF|HRRN|HRRN ; FCFS|FCFS|SJF|SJF ; FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|SJF|HRRN ; FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN ; FCFS|FCFS|HRRN|SJF ; FCFS|FCFS|HRRN|FCFS ; FCFS|FCFS|HRRN|HRRN ; FCFS|HRRN|SJF|SJF ; FCFS|HRRN|SJF|FCFS ; FCFS|HRRN|SJF|HRRN ; FCFS|HRRN|FCFS|SJF ; FCFS|HRRN|FCFS|FCFS ; FCFS|HRRN|FCFS|HRRN ; FCFS|HRRN|HRRN|SJF ; FCFS|HRRN|HRRN|FCFS ; FCFS|HRRN|HRRN|HRRN ; HRRN|SJF|SJF|SJF ; HRRN|SJF|SJF|FCFS ; HRRN|SJF|SJF|HRRN ; HRRN|SJF|FCFS|SJF ; HRRN|SJF|FCFS|FCFS ; HRRN|SJF|FCFS|HRRN ; HRRN|SJF|HRRN|SJF ; HRRN|SJF|HRRN|FCFS ; HRRN|SJF|HRRN|HRRN ; HRRN|FCFS|SJF|SJF ; HRRN|FCFS|SJF|FCFS ; HRRN|FCFS|SJF|HRRN ; HRRN|FCFS|FCFS|SJF ; HRRN|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|HRRN ; HRRN|FCFS|HRRN|SJF ; HRRN|FCFS|HRRN|FCFS ; HRRN|FCFS|HRRN|HRRN ; HRRN|HRRN|SJF|SJF ; HRRN|HRRN|SJF|FCFS ; HRRN|HRRN|SJF|HRRN ; HRRN|HRRN|FCFS|SJF ; HRRN|HRRN|FCFS|FCFS ; HRRN|HRRN|FCFS|HRRN ; HRRN|HRRN|HRRN|SJF ; HRRN|HRRN|HRRN|FCFS ; HRRN|HRRN|HRRN|HRRN,HRRN|SJF|FCFS|HRRN,short_1000_processes.txt
2600,2675,81,SJF|SJF|SJF|SJF ; SJF|SJF|SJF|FCFS ; SJF|SJF|SJF|HRRN ; SJF|SJF|FCFS|SJF ; SJF|SJF|FCFS|FCFS ; SJF|SJF|FCFS|HRRN ; SJF|SJF|HRRN|SJF ; SJF|SJF|HRRN|FCFS ; SJF|SJF|HRRN|HRRN ; SJF|FCFS|SJF|SJF ; SJF|FCFS|SJF|FCFS ; SJF|FCFS|SJF|HRRN ; SJF|FCFS|FCFS|SJF ; SJF|FCFS|FCFS|FCFS ; SJF|FCFS|FCFS|HRRN ; SJF|FCFS|HRRN|SJF ; SJF|FCFS|HRRN|FCFS ; SJF|FCFS|HRRN|HRRN ; SJF|HRRN|SJF|SJF ; SJF|HRRN|SJF|FCFS ; SJF|HRRN|SJF|HRRN ; SJF|HRRN|FCFS|SJF ; SJF|HRRN|FCFS|FCFS ; SJF|HRRN|FCFS|HRRN ; SJF|HRRN|HRRN|SJF ; SJF|HRRN|HRRN|FCFS ; SJF|HRRN|HRRN|HRRN ; FCFS|SJF|SJF|SJF ; FCFS|SJF|SJF|FCFS ; FCFS|SJF|SJF|HRRN ; FCFS|SJF|FCFS|SJF ; FCFS|SJF|FCFS|FCFS ; FCFS|SJF|FCFS|HRRN ; FCFS|SJF|HRRN|SJF ; FCFS|SJF|HRRN|FCFS ; FCFS|SJF|HRRN|HRRN ; FCFS|FCFS|SJF|SJF ; FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|SJF|HRRN ; FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN ; FCFS|FCFS|HRRN|SJF ; FCFS|FCFS|HRRN|FCFS ; FCFS|FCFS|HRRN|HRRN ; FCFS|HRRN|SJF|SJF ; FCFS|HRRN|SJF|FCFS ; FCFS|HRRN|SJF|HRRN ; FCFS|HRRN|FCFS|SJF ; FCFS|HRRN|FCFS|FCFS ; FCFS|HRRN|FCFS|HRRN ; FCFS|HRRN|HRRN|SJF ; FCFS|HRRN|HRRN|FCFS ; FCFS|HRRN|HRRN|HRRN ; HRRN|SJF|SJF|SJF ; HRRN|SJF|SJF|FCFS ; HRRN|SJF|SJF|HRRN ; HRRN|SJF|FCFS|SJF ; HRRN|SJF|FCFS|FCFS ; HRRN|SJF|FCFS|HRRN ; HRRN|SJF|HRRN|SJF ; HRRN|SJF|HRRN|FCFS ; HRRN|SJF|HRRN|HRRN ; HRRN|FCFS|SJF|SJF ; HRRN|FCFS|SJF|FCFS ; HRRN|FCFS|SJF|HRRN ; HRRN|FCFS|FCFS|SJF ; HRRN|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|HRRN ; HRRN|FCFS|HRRN|SJF ; HRRN|FCFS|HRRN|FCFS ; HRRN|FCFS|HRRN|HRRN ; HRRN|HRRN|SJF|SJF ; HRRN|HRRN|SJF|FCFS ; HRRN|HRRN|SJF|HRRN ; HRRN|HRRN|FCFS|SJF ; HRRN|HRRN|FCFS|FCFS ; HRRN|HRRN|FCFS|HRRN ; HRRN|HRRN|HRRN|SJF ; HRRN|HRRN|HRRN|FCFS ; HRRN|HRRN|HRRN|HRRN,HRRN|FCFS|FCFS|FCFS,short_1000_processes.txt
2625,2700,81,SJF|SJF|SJF|SJF ; SJF|SJF|SJF|FCFS ; SJF|SJF|SJF|HRRN ; SJF|SJF|FCFS|SJF ; SJF|SJF|FCFS|FCFS ; SJF|SJF|FCFS|HRRN ; SJF|SJF|HRRN|SJF ; SJF|SJF|HRRN|FCFS ; SJF|SJF|HRRN|HRRN ; SJF|FCFS|SJF|SJF ; SJF|FCFS|SJF|FCFS ; SJF|FCFS|SJF|HRRN ; SJF|FCFS|FCFS|SJF ; SJF|FCFS|FCFS|FCFS ; SJF|FCFS|FCFS|HRRN ; SJF|FCFS|HRRN|SJF ; SJF|FCFS|HRRN|FCFS ; SJF|FCFS|HRRN|HRRN ; SJF|HRRN|SJF|SJF ; SJF|HRRN|SJF|FCFS ; SJF|HRRN|SJF|HRRN ; SJF|HRRN|FCFS|SJF ; SJF|HRRN|FCFS|FCFS ; SJF|HRRN|FCFS|HRRN ; SJF|HRRN|HRRN|SJF ; SJF|HRRN|HRRN|FCFS ; SJF|HRRN|HRRN|HRRN ; FCFS|SJF|SJF|SJF ; FCFS|SJF|SJF|FCFS ; FCFS|SJF|SJF|HRRN ; FCFS|SJF|FCFS|SJF ; FCFS|SJF|FCFS|FCFS ; FCFS|SJF|FCFS|HRRN ; FCFS|SJF|HRRN|SJF ; FCFS|SJF|HRRN|FCFS ; FCFS|SJF|HRRN|HRRN ; FCFS|FCFS|SJF|SJF ; FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|SJF|HRRN ; FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN ; FCFS|FCFS|HRRN|SJF ; FCFS|FCFS|HRRN|FCFS ; FCFS|FCFS|HRRN|HRRN ; FCFS|HRRN|SJF|SJF ; FCFS|HRRN|SJF|FCFS ; FCFS|HRRN|SJF|HRRN ; FCFS|HRRN|FCFS|SJF ; FCFS|HRRN|FCFS|FCFS ; FCFS|HRRN|FCFS|HRRN ; FCFS|HRRN|HRRN|SJF ; FCFS|HRRN|HRRN|FCFS ; FCFS|HRRN|HRRN|HRRN ; HRRN|SJF|SJF|SJF ; HRRN|SJF|SJF|FCFS ; HRRN|SJF|SJF|HRRN ; HRRN|SJF|FCFS|SJF ; HRRN|SJF|FCFS|FCFS ; HRRN|SJF|FCFS|HRRN ; HRRN|SJF|HRRN|SJF ; HRRN|SJF|HRRN|FCFS ; HRRN|SJF|HRRN|HRRN ; HRRN|FCFS|SJF|SJF ; HRRN|FCFS|SJF|FCFS ; HRRN|FCFS|SJF|HRRN ; HRRN|FCFS|FCFS|SJF ; HRRN|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|HRRN ; HRRN|FCFS|HRRN|SJF ; HRRN|FCFS|HRRN|FCFS ; HRRN|FCFS|HRRN|HRRN ; HRRN|HRRN|SJF|SJF ; HRRN|HRRN|SJF|FCFS ; HRRN|HRRN|SJF|HRRN ; HRRN|HRRN|FCFS|SJF ; HRRN|HRRN|FCFS|FCFS ; HRRN|HRRN|FCFS|HRRN ; HRRN|HRRN|HRRN|SJF ; HRRN|HRRN|HRRN|FCFS ; HRRN|HRRN|HRRN|HRRN,FCFS|SJF|FCFS|HRRN,short_1000_processes.txt
2650,2725,81,SJF|SJF|SJF|SJF ; SJF|SJF|SJF|FCFS ; SJF|SJF|SJF|HRRN ; SJF|SJF|FCFS|SJF ; SJF|SJF|FCFS|FCFS ; SJF|SJF|FCFS|HRRN ; SJF|SJF|HRRN|SJF ; SJF|SJF|HRRN|FCFS ; SJF|SJF|HRRN|HRRN ; SJF|FCFS|SJF|SJF ; SJF|FCFS|SJF|FCFS ; SJF|FCFS|SJF|HRRN ; SJF|FCFS|FCFS|SJF ; SJF|FCFS|FCFS|FCFS ; SJF|FCFS|FCFS|HRRN ; SJF|FCFS|HRRN|SJF ; SJF|FCFS|HRRN|FCFS ; SJF|FCFS|HRRN|HRRN ; SJF|HRRN|SJF|SJF ; SJF|HRRN|SJF|FCFS ; SJF|HRRN|SJF|HRRN ; SJF|HRRN|FCFS|SJF ; SJF|HRRN|FCFS|FCFS ; SJF|HRRN|FCFS|HRRN ; SJF|HRRN|HRRN|SJF ; SJF|HRRN|HRRN|FCFS ; SJF|HRRN|HRRN|HRRN ; FCFS|SJF|SJF|SJF ; FCFS|SJF|SJF|FCFS ; FCFS|SJF|SJF|HRRN ; FCFS|SJF|FCFS|SJF ; FCFS|SJF|FCFS|FCFS ; FCFS|SJF|FCFS|HRRN ; FCFS|SJF|HRRN|SJF ; FCFS|SJF|HRRN|FCFS ; FCFS|SJF|HRRN|HRRN ; FCFS|FCFS|SJF|SJF ; FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|SJF|HRRN ; FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN ; FCFS|FCFS|HRRN|SJF ; FCFS|FCFS|HRRN|FCFS ; FCFS|FCFS|HRRN|HRRN ; FCFS|HRRN|SJF|SJF ; FCFS|HRRN|SJF|FCFS ; FCFS|HRRN|SJF|HRRN ; FCFS|HRRN|FCFS|SJF ; FCFS|HRRN|FCFS|FCFS ; FCFS|HRRN|FCFS|HRRN ; FCFS|HRRN|HRRN|SJF ; FCFS|HRRN|HRRN|FCFS ; FCFS|HRRN|HRRN|HRRN ; HRRN|SJF|SJF|SJF ; HRRN|SJF|SJF|FCFS ; HRRN|SJF|SJF|HRRN ; HRRN|SJF|FCFS|SJF ; HRRN|SJF|FCFS|FCFS ; HRRN|SJF|FCFS|HRRN ; HRRN|SJF|HRRN|SJF ; HRRN|SJF|HRRN|FCFS ; HRRN|SJF|HRRN|HRRN ; HRRN|FCFS|SJF|SJF ; HRRN|FCFS|SJF|FCFS ; HRRN|FCFS|SJF|HRRN ; HRRN|FCFS|FCFS|SJF ; HRRN|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|HRRN ; HRRN|FCFS|HRRN|SJF ; HRRN|FCFS|HRRN|FCFS ; HRRN|FCFS|HRRN|HRRN ; HRRN|HRRN|SJF|SJF ; HRRN|HRRN|SJF|FCFS ; HRRN|HRRN|SJF|HRRN ; HRRN|HRRN|FCFS|SJF ; HRRN|HRRN|FCFS|FCFS ; HRRN|HRRN|FCFS|HRRN ; HRRN|HRRN|HRRN|SJF ; HRRN|HRRN|HRRN|FCFS ; HRRN|HRRN|HRRN|HRRN,HRRN|FCFS|HRRN|FCFS,short_1000_processes.txt
2675,2750,81,SJF|SJF|SJF|SJF ; SJF|SJF|SJF|FCFS ; SJF|SJF|SJF|HRRN ; SJF|SJF|FCFS|SJF ; SJF|SJF|FCFS|FCFS ; SJF|SJF|FCFS|HRRN ; SJF|SJF|HRRN|SJF ; SJF|SJF|HRRN|FCFS ; SJF|SJF|HRRN|HRRN ; SJF|FCFS|SJF|SJF ; SJF|FCFS|SJF|FCFS ; SJF|FCFS|SJF|HRRN ; SJF|FCFS|FCFS|SJF ; SJF|FCFS|FCFS|FCFS ; SJF|FCFS|FCFS|HRRN ; SJF|FCFS|HRRN|SJF ; SJF|FCFS|HRRN|FCFS ; SJF|FCFS|HRRN|HRRN ; SJF|HRRN|SJF|SJF ; SJF|HRRN|SJF|FCFS ; SJF|HRRN|SJF|HRRN ; SJF|HRRN|FCFS|SJF ; SJF|HRRN|FCFS|FCFS ; SJF|HRRN|FCFS|HRRN ; SJF|HRRN|HRRN|SJF ; SJF|HRRN|HRRN|FCFS ; SJF|HRRN|HRRN|HRRN ; FCFS|SJF|SJF|SJF ; FCFS|SJF|SJF|FCFS ; FCFS|SJF|SJF|HRRN ; FCFS|SJF|FCFS|SJF ; FCFS|SJF|FCFS|FCFS ; FCFS|SJF|FCFS|HRRN ; FCFS|SJF|HRRN|SJF ; FCFS|SJF|HRRN|FCFS ; FCFS|SJF|HRRN|HRRN ; FCFS|FCFS|SJF|SJF ; FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|SJF|HRRN ; FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN ; FCFS|FCFS|HRRN|SJF ; FCFS|FCFS|HRRN|FCFS ; FCFS|FCFS|HRRN|HRRN ; FCFS|HRRN|SJF|SJF ; FCFS|HRRN|SJF|FCFS ; FCFS|HRRN|SJF|HRRN ; FCFS|HRRN|FCFS|SJF ; FCFS|HRRN|FCFS|FCFS ; FCFS|HRRN|FCFS|HRRN ; FCFS|HRRN|HRRN|SJF ; FCFS|HRRN|HRRN|FCFS ; FCFS|HRRN|HRRN|HRRN ; HRRN|SJF|SJF|SJF ; HRRN|SJF|SJF|FCFS ; HRRN|SJF|SJF|HRRN ; HRRN|SJF|FCFS|SJF ; HRRN|SJF|FCFS|FCFS ; HRRN|SJF|FCFS|HRRN ; HRRN|SJF|HRRN|SJF ; HRRN|SJF|HRRN|FCFS ; HRRN|SJF|HRRN|HRRN ; HRRN|FCFS|SJF|SJF ; HRRN|FCFS|SJF|FCFS ; HRRN|FCFS|SJF|HRRN ; HRRN|FCFS|FCFS|SJF ; HRRN|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|HRRN ; HRRN|FCFS|HRRN|SJF ; HRRN|FCFS|HRRN|FCFS ; HRRN|FCFS|HRRN|HRRN ; HRRN|HRRN|SJF|SJF ; HRRN|HRRN|SJF|FCFS ; HRRN|HRRN|SJF|HRRN ; HRRN|HRRN|FCFS|SJF ; HRRN|HRRN|FCFS|FCFS ; HRRN|HRRN|FCFS|HRRN ; HRRN|HRRN|HRRN|SJF ; HRRN|HRRN|HRRN|FCFS ; HRRN|HRRN|HRRN|HRRN,SJF|SJF|SJF|FCFS,short_1000_processes.txt
0,75,54,SJF|SJF|FCFS|SJF ; SJF|SJF|FCFS|FCFS ; SJF|SJF|FCFS|HRRN ; SJF|SJF|HRRN|SJF ; SJF|SJF|HRRN|FCFS ; SJF|SJF|HRRN|HRRN ; SJF|FCFS|FCFS|SJF ; SJF|FCFS|FCFS|FCFS ; SJF|FCFS|FCFS|HRRN ; SJF|FCFS|HRRN|SJF ; SJF|FCFS|HRRN|FCFS ; SJF|FCFS|HRRN|HRRN ; SJF|HRRN|FCFS|SJF ; SJF|HRRN|FCFS|FCFS ; SJF|HRRN|FCFS|HRRN ; SJF|HRRN|HRRN|SJF ; SJF|HRRN|HRRN|FCFS ; SJF|HRRN|HRRN|HRRN ; FCFS|SJF|FCFS|SJF ; FCFS|SJF|FCFS|FCFS ; FCFS|SJF|FCFS|HRRN ; FCFS|SJF|HRRN|SJF ; FCFS|SJF|HRRN|FCFS ; FCFS|SJF|HRRN|HRRN ; FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN ; FCFS|FCFS|HRRN|SJF ; FCFS|FCFS|HRRN|FCFS ; FCFS|FCFS|HRRN|HRRN ; FCFS|HRRN|FCFS|SJF ; FCFS|HRRN|FCFS|FCFS ; FCFS|HRRN|FCFS|HRRN ; FCFS|HRRN|HRRN|SJF ; FCFS|HRRN|HRRN|FCFS ; FCFS|HRRN|HRRN|HRRN ; HRRN|SJF|FCFS|SJF ; HRRN|SJF|FCFS|FCFS ; HRRN|SJF|FCFS|HRRN ; HRRN|SJF|HRRN|SJF ; HRRN|SJF|HRRN|FCFS ; HRRN|SJF|HRRN|HRRN ; HRRN|FCFS|FCFS|SJF ; HRRN|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|HRRN ; HRRN|FCFS|HRRN|SJF ; HRRN|FCFS|HRRN|FCFS ; HRRN|FCFS|HRRN|HRRN ; HRRN|HRRN|FCFS|SJF ; HRRN|HRRN|FCFS|FCFS ; HRRN|HRRN|FCFS|HRRN ; HRRN|HRRN|HRRN|SJF ; HRRN|HRRN|HRRN|FCFS ; HRRN|HRRN|HRRN|HRRN,HRRN|FCFS|FCFS|FCFS,long_1000_processes.txt
25,100,6,FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN ; FCFS|FCFS|HRRN|SJF ; FCFS|FCFS|HRRN|FCFS ; FCFS|FCFS|HRRN|HRRN,FCFS|FCFS|HRRN|HRRN,long_1000_processes.txt
50,125,4,FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN ; FCFS|FCFS|HRRN|FCFS ; FCFS|FCFS|HRRN|HRRN,FCFS|FCFS|FCFS|FCFS,long_1000_processes.txt
75,150,2,FCFS|FCFS|FCFS|HRRN ; FCFS|FCFS|HRRN|FCFS,FCFS|FCFS|HRRN|FCFS,long_1000_processes.txt
100,175,9,SJF|FCFS|FCFS|SJF ; SJF|FCFS|HRRN|SJF ; SJF|HRRN|FCFS|SJF ; FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|HRRN|SJF ; FCFS|HRRN|FCFS|SJF ; HRRN|FCFS|FCFS|SJF ; HRRN|FCFS|HRRN|SJF ; HRRN|HRRN|FCFS|SJF,FCFS|HRRN|FCFS|SJF,long_1000_processes.txt
